,alb_state_key,alb_num,alb_id,state,state_num,st_group_alb_search_avg,alb_group_st_search_avg,alb_r_date,record_type,tvflag,st_alb_pop_group,album_event,alb_track_cnt,wk1_alb_sales,tot_alb_plays,top_s_cnt,avg_daily_alb_streams,top_alb_count,top_alb_n,days_sr,alb_ann_day,alb_ann_yr,alb_r_day,alb_r_yr,acou_m,dance_m,ener_m,instru_m,live_m,loud_m,speech_m,temp_m,val_m,dur_m,color,alb_genre
71,"1989TV, Maryland",14,1989TV,Maryland,21,51.0,60.0,2023-10-27,Taylor's Version,True,Medium search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
72,"1989TV, Massachusetts",14,1989TV,Massachusetts,22,70.0,60.0,2023-10-27,Taylor's Version,True,High search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
73,"1989TV, Michigan",14,1989TV,Michigan,23,59.0,60.0,2023-10-27,Taylor's Version,True,Medium search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
74,"1989TV, Minnesota",14,1989TV,Minnesota,24,72.0,60.0,2023-10-27,Taylor's Version,True,High search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
75,"1989TV, Mississippi",14,1989TV,Mississippi,25,45.0,60.0,2023-10-27,Taylor's Version,True,Low search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
76,"1989TV, Missouri",14,1989TV,Missouri,26,92.0,60.0,2023-10-27,Taylor's Version,True,High search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
77,"1989TV, Montana",14,1989TV,Montana,27,61.0,60.0,2023-10-27,Taylor's Version,True,Medium search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
78,"1989TV, Nebraska",14,1989TV,Nebraska,28,72.0,60.0,2023-10-27,Taylor's Version,True,High search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
79,"1989TV, Nevada",14,1989TV,Nevada,29,45.0,60.0,2023-10-27,Taylor's Version,True,Low search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
80,"1989TV, New Hampshire",14,1989TV,New Hampshire,30,64.0,60.0,2023-10-27,Taylor's Version,True,High search popularity,1989 (Taylor's Version),22,1359000.0,1462293896.0,21,112484136.0,1,0,13,9,2023,27,2023,0.0386,0.61,0.6785000000000001,1.042e-05,0.1135,-6.483,0.0442,118.0225,0.374,224955.0,steelblue,pop
